id,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q11,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q17,Q17,Q17,Q17,Q17,Q17,Q17,Q17,Q18,Q20,Q21,device_type,מקור,ISAIncome
622,גבר,21,יהודי,,(02) ירושלים,דתי/ה,1,סיב אופטי,פרטנר,,,,,,,,,FreeTV,,,,,נטפליקס – Netflix,,,אפל TV - AppleTV,,,,,,,,אפל מיוזיק - Apple music,,טיידל -  Tidal,,,,,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,עד 3000,,"mobile, Android",0,עד 3000
734,גבר,21,יהודי,,(03) מרכז,חרדי/ת,1,אחר,נטוויזן,,,,,,,,,,,,לא יודע ת,,,,,,,,,,,אף אחד מהם,ספוטיפיי – Spotify,,YouTube Music   YouTube Premium,,,,,,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,12001-13000,,"mobile, Android",0,12001-13000
747,גבר,21,יהודי,,(04) צפון,חילוני/ת,1,סיב אופטי,פרטנר,,,,,יס פלוס - Yes,,פרטנר TV,,,,,,,נטפליקס – Netflix,,יוטיוב - YouTube - מנוי בתשלום,אפל TV - AppleTV,,,,,,,,אפל מיוזיק - Apple music,,,,,,,תיכונית / ישיבה קטנה,18001-22000,,"mobile, iOS",0,18001-22000
773,גבר,21,ערבי - מוסלמי,"ערים מעורבות (ירושלים, חיפה, עכו, נצרת, לוד, רמלה, יפו)",,,1,אחר,פרטנר,,,,,,,,,,,,,אף אחד מהם,,,,,,,,,,אף אחד מהם,ספוטיפיי – Spotify,,,,,,,,על תיכונית,5001-6000,,"mobile, Android",0,5001-6000
792,גבר,21,ערבי - מוסלמי,נצרת וסביבותיה,,,1,סיב אופטי,טריפל סי,,,Hot-NextTV,,,,,,,,,,,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,,,,,,,,יסודית,עד 3000,,desktop,0,עד 3000
968,אישה,21,יהודי,,(03) מרכז,מסורתי/ת,1,קו טלפון (ADSL),019 mobile,,הוט -Hot ,,,,,,,,,,,,,,,,,,,,לא יודע ת,,,אפל מיוזיק - Apple music,YouTube Music   YouTube Premium,,,,,,על תיכונית,8001-9000,,"mobile, iOS",0,8001-9000
1071,אישה,21,יהודי,,(03) מרכז,מסורתי/ת,1,לא יודע/ת,אקספון 018 (wecom),,,,,,,,,,עידן פלוס - Idan,,,,,,,,,,,אחר,,,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,8001-9000,,"mobile, iOS",0,8001-9000
1075,גבר,21,יהודי,,(02) ירושלים,דתי/ה,1,לא יודע/ת,טריפל סי,,,,,,,,,,עידן פלוס - Idan,,,,,,,,,,,,,אף אחד מהם,ספוטיפיי – Spotify,,YouTube Music   YouTube Premium,,,,,,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב
1099,אישה,21,יהודי,,(04) צפון,חילוני/ת,1,לא יודע/ת,סלקום,,הוט -Hot ,,,,,,,,,,,,,,,,,,,,,אף אחד מהם,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,desktop,0,מסרב|ת להשיב
1100,אישה,21,יהודי,,(04) צפון,חילוני/ת,1,סיב אופטי,בזק בינלאומי,,הוט -Hot ,,,,סלקום TV,,,,,,,,נטפליקס – Netflix,,,,,,,,,,,,YouTube Music   YouTube Premium,,,,,,תיכונית / ישיבה קטנה,5001-6000,,"mobile, iOS",0,5001-6000
1109,אישה,21,דרוזי,הגליל והגולן,,,1,לא יודע/ת,לא יודע/ת,,,,,,,,,,,,,אף אחד מהם,נטפליקס – Netflix,,יוטיוב - YouTube - מנוי בתשלום,,,,,,,,,,YouTube Music   YouTube Premium,,,,,,על תיכונית,7001-8000,,desktop,0,7001-8000
1133,אישה,21,יהודי,,(09) שרון,חילוני/ת,1,לא יודע/ת,גולן טלקום,,,,,,סלקום TV,,,,,,,,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,,,,,,,תיכונית / ישיבה קטנה,18001-22000,,"mobile, iOS",0,18001-22000
1165,אישה,21,יהודי,,(03) מרכז,מסורתי/ת,1,לא יודע/ת,לא יודע/ת,,,,,,,,,,,,,אף אחד מהם,נטפליקס – Netflix,דיסני פלוס,,,אמאזון פריים - Amazon Prime,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,YouTube Music   YouTube Premium,,,,,,על תיכונית,11001-12000,,"mobile, iOS",0,11001-12000
1181,אישה,21,יהודי,,(09) שרון,דתי/ה,1,סיב אופטי,פרטנר,,,,,,,,,,,,,אף אחד מהם,,,,,,,,,,אף אחד מהם,,,YouTube Music   YouTube Premium,,,,,,תיכונית / ישיבה קטנה,עד 3000,,"mobile, Android",0,עד 3000
1216,אישה,21,יהודי,,(03) מרכז,מסורתי/ת,1,סיב אופטי,בזק בינלאומי,,,,יס - Yes,יס פלוס - Yes,,,Sting TV,,,,,,נטפליקס – Netflix,דיסני פלוס,,,,,BIGI,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,YouTube Music   YouTube Premium,,,,,,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, iOS",0,מסרב|ת להשיב
1232,גבר,21,יהודי,,(03) מרכז,חילוני/ת,1,סיב אופטי,פרטנר,,,,יס - Yes,יס פלוס - Yes,סלקום TV,פרטנר TV,,,,,,,נטפליקס – Netflix,,יוטיוב - YouTube - מנוי בתשלום,,,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,YouTube Music   YouTube Premium,,,,,,על תיכונית,9001-10000,,desktop,0,9001-10000
170,אישה,22,ערבי - מוסלמי,הגליל והגולן,,,1,קו טלפון (ADSL),בזק בינלאומי,,,,יס - Yes,,,,,,,,,,נטפליקס – Netflix,,,אפל TV - AppleTV,,,,,,,ספוטיפיי – Spotify,,YouTube Music   YouTube Premium,,,,,,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,5001-6000,,"mobile, iOS",0,5001-6000
178,אישה,22,יהודי,,(03) מרכז,חילוני/ת,1,לא יודע/ת,פרטנר,,,,,,,,,,,,,אף אחד מהם,,,,,,,,,,אף אחד מהם,ספוטיפיי – Spotify,,,,,,,,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,13001-14000,,"mobile, Android",0,13001-14000
200,גבר,22,יהודי,,(08) דרום,חילוני/ת,1,סיב אופטי,הוט נט,,הוט -Hot ,,,,,,,,,,,,נטפליקס – Netflix,,,,,,,,,,,,,,,,לא יודע ת,,תיכונית / ישיבה קטנה,לא יודע/ת,מסרב/ת להשיב,"mobile, Android",0,לא יודע|ת
201,אישה,22,ערבי - מוסלמי,המשולש,,,1,לא יודע/ת,לא יודע/ת,,,,,,,,,,,,לא יודע ת,,נטפליקס – Netflix,,,,,,,,לא יודע ת,,,,,,,,,אף אחד מהם,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,לא יודע/ת,דומה לממוצע,"mobile, Android",0,12001-13000
376,אישה,22,יהודי,,(08) דרום,מסורתי/ת,1,לא יודע/ת,פרטנר,,,,,יס פלוס - Yes,,,,,,,,,נטפליקס – Netflix,,,,,,,,,,,אפל מיוזיק - Apple music,,,,,,,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,עד 3000,,desktop,0,עד 3000
424,גבר,22,יהודי,,(03) מרכז,חילוני/ת,1,כבלים של הוט,הוט נט,,,Hot-NextTV,,יס פלוס - Yes,,פרטנר TV,,,,,,,,,,,,,,,,אף אחד מהם,,,,,,,,אף אחד מהם,על תיכונית,עד 3000,,desktop,0,עד 3000
