ת״ז,מגדר,גיל,לאום,הגדרה דתית,סוג חיבור האינטרנט,ספק האינטרנט,השכלה,הכנסה למשק בית,הכנסה מעל או מתחת לממוצע,סוג מכשיר,מקור,הכנסה,איזור מגורים,ספק טלויזיה ישראלי,צריכת שירותי מוזיקה,הכנסה_מספרית,ספק טלוויזיה בינלאומי,קבוצת_גיל,נטפליקס
343,אישה,41,יהודי,חילוני/ת,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,13001-14000,מעט מעל הערך הממוצע,"mobile, Android",0,13001-14000,(04) צפון,הוט -Hot,YouTube Music   YouTube Premium,13500,לא יודע ת,36-45,FALSE
425,גבר,41,יהודי,דתי/ה,סיב אופטי,פרטנר,אקדמאית תואר שני,16001-18000,מעט מעל הערך הממוצע,"mobile, iOS",0,16001-18000,(04) צפון,פרטנר TV,לא יודע ת,17000,נטפליקס – Netflix,36-45,TRUE
560,גבר,41,יהודי,חילוני/ת,סיב אופטי,הוט נט,על תיכונית,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(08) דרום,הוט -Hot,אחר,,נטפליקס – Netflix; דיסני פלוס; אמאזון פריים - Amazon Prime,36-45,TRUE
617,אישה,41,יהודי,דתי/ה,סיב אופטי,הוט נט,אקדמאית תואר שני,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(08) דרום,Hot-NextTV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,15000,נטפליקס – Netflix,36-45,TRUE
646,גבר,41,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,11001-12000,מעט מתחת לערך הממוצע,"mobile, Android",0,11001-12000,(04) צפון,אף אחד מהם,ספוטיפיי – Spotify,11500,נטפליקס – Netflix,36-45,TRUE
709,גבר,41,יהודי,חילוני/ת,סיב אופטי,סלקום,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,32001-36000,,"mobile, Android",0,32001-36000,(04) צפון,סלקום TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,,נטפליקס – Netflix,36-45,TRUE
714,גבר,41,יהודי,חילוני/ת,סיב אופטי,סלקום,על תיכונית,מסרב/ת להשיב,מסרב/ת להשיב,desktop,0,מסרב|ת להשיב,(08) דרום,סלקום TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; דיסני פלוס,36-45,TRUE
756,אישה,41,יהודי,מסורתי/ת,סיב אופטי,נטוויזן,על תיכונית,16001-18000,מעט מעל הערך הממוצע,"mobile, Android",0,16001-18000,(04) צפון,סלקום TV,אף אחד מהם,17000,נטפליקס – Netflix; אחר,36-45,TRUE
861,אישה,41,ערבי - נוצרי,חרדי/ת,סיב אופטי,סלקום,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,22001-27000,,"mobile, Android",0,22001-27000,"ערים מעורבות (ירושלים, חיפה, עכו, נצרת, לוד, רמלה, יפו)",סלקום TV,ספוטיפיי – Spotify,,נטפליקס – Netflix,36-45,TRUE
896,גבר,41,יהודי,מסורתי/ת,סיב אופטי,סלקום,על תיכונית,27001-32000,,"mobile, Android",0,27001-32000,(03) מרכז,יס פלוס - Yes,ספוטיפיי – Spotify,,נטפליקס – Netflix,36-45,TRUE
1016,גבר,41,יהודי,חילוני/ת,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,32001-36000,,"mobile, iOS",0,32001-36000,(03) מרכז,Hot-NextTV; Sting TV,YouTube Music   YouTube Premium,,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,36-45,TRUE
1036,אישה,41,יהודי,חילוני/ת,סיב אופטי,לא יודע/ת,אקדמאית תואר שני,16001-18000,מעט מעל הערך הממוצע,"mobile, Android",0,16001-18000,(08) דרום,יס פלוס - Yes,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,17000,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום; אמאזון פריים - Amazon Prime; דיסקברי פלוס - Discovery Plus,36-45,TRUE
4,אישה,42,יהודי,דתי/ה,סיב אופטי,פרטנר,אקדמאית תואר שני,14001-16000,מעט מעל הערך הממוצע,desktop,0,14001-16000,(02) ירושלים,יס פלוס - Yes,ספוטיפיי – Spotify,15000,נטפליקס – Netflix,36-45,TRUE
31,גבר,42,יהודי,חילוני/ת,סיב אופטי,אחר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מעל 36000,,"mobile, iOS",0,מעל 36000,(08) דרום,יס - Yes; יס פלוס - Yes; FreeTV,ספוטיפיי – Spotify,,נטפליקס – Netflix,36-45,TRUE
35,אישה,42,יהודי,מסורתי/ת,סיב אופטי,הוט נט,על תיכונית,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(04) צפון,Sting TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium; אחר,15000,אחר,36-45,FALSE
54,אישה,42,ערבי - מוסלמי,חילוני/ת,קו טלפון (ADSL),בזק בינלאומי,אקדמאית תואר שני,מסרב/ת להשיב,הרבה מתחת לממוצע,"mobile, Android",0,עד 3000,המשולש,אף אחד מהם,YouTube Music   YouTube Premium,1500,יוטיוב - YouTube - מנוי בתשלום,36-45,FALSE
70,אישה,42,יהודי,דתי/ה,קו טלפון (ADSL),פרטנר,אקדמאית תואר שני,18001-22000,מעט מעל הערך הממוצע,"mobile, iOS",0,18001-22000,(04) צפון,אף אחד מהם,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,20000,נטפליקס – Netflix; אמאזון פריים - Amazon Prime,36-45,TRUE
105,גבר,42,ערבי - מוסלמי,חרדי/ת,סיב אופטי,נטוויזן,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,7001-8000,מעט מתחת לערך הממוצע,desktop,0,7001-8000,המשולש,יס פלוס - Yes,טיידל -  Tidal,7500,אפל TV - AppleTV,36-45,FALSE
146,גבר,42,יהודי,חילוני/ת,סיב אופטי,סלקום,על תיכונית,10001-11000,מעט מתחת לערך הממוצע,desktop,0,10001-11000,(08) דרום,יס - Yes; פרטנר TV,אף אחד מהם,10500,נטפליקס – Netflix; דיסני פלוס; BIGI,36-45,TRUE
152,גבר,42,ערבי - מוסלמי,חילוני/ת,כבלים של הוט,הוט נט,אקדמאית תואר שני,10001-11000,מעט מתחת לערך הממוצע,"mobile, iOS",0,10001-11000,הגליל והגולן,אף אחד מהם,אף אחד מהם,10500,דיסקברי פלוס - Discovery Plus,36-45,FALSE
272,אישה,42,יהודי,חילוני/ת,לא יודע/ת,אקספון 018 (wecom),תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,desktop,0,מסרב|ת להשיב,(02) ירושלים,אף אחד מהם,אף אחד מהם,,יוטיוב - YouTube - מנוי בתשלום,36-45,FALSE
289,אישה,42,ערבי - מוסלמי,חרדי/ת,כבלים של הוט,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,22001-27000,,"mobile, iOS",0,22001-27000,"ערים מעורבות (ירושלים, חיפה, עכו, נצרת, לוד, רמלה, יפו)",הוט -Hot,YouTube Music   YouTube Premium,,נטפליקס – Netflix; דיסני פלוס,36-45,TRUE
400,גבר,42,דרוזי,חרדי/ת,סיב אופטי,בזק בינלאומי,אקדמאית דוקטורט,22001-27000,,desktop,0,22001-27000,הגליל והגולן,אחר,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,,נטפליקס – Netflix; אחר,36-45,TRUE
471,גבר,42,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,על תיכונית,10001-11000,מעט מתחת לערך הממוצע,desktop,0,10001-11000,(04) צפון,הוט -Hot; Hot-NextTV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,10500,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום,36-45,TRUE
478,גבר,42,יהודי,מסורתי/ת,סיב אופטי,סלקום,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,27001-32000,,"mobile, iOS",0,27001-32000,(03) מרכז,אחר,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,,דיסני פלוס,36-45,FALSE
629,אישה,42,יהודי,מסורתי/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,18001-22000,מעט מעל הערך הממוצע,desktop,0,18001-22000,(09) שרון,יס - Yes,ספוטיפיי – Spotify,20000,נטפליקס – Netflix; אפל TV - AppleTV,36-45,TRUE
702,אישה,42,יהודי,מסורתי/ת,סיב אופטי,הוט נט,יסודית,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(02) ירושלים,Hot-NextTV,ספוטיפיי – Spotify,15000,נטפליקס – Netflix,36-45,TRUE
703,גבר,42,יהודי,חילוני/ת,אחר,פרטנר,תיכונית / ישיבה קטנה,11001-12000,מעט מתחת לערך הממוצע,desktop,0,11001-12000,(04) צפון,יס - Yes,ספוטיפיי – Spotify,11500,נטפליקס – Netflix,36-45,TRUE
793,אישה,42,יהודי,מסורתי/ת,סיב אופטי,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,18001-22000,מעט מעל הערך הממוצע,"mobile, Android",0,18001-22000,(08) דרום,אף אחד מהם,YouTube Music   YouTube Premium,20000,נטפליקס – Netflix,36-45,TRUE
820,גבר,42,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,על תיכונית,22001-27000,,desktop,0,22001-27000,(04) צפון,סלקום TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; דיסני פלוס,36-45,TRUE
905,אישה,42,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(04) צפון,סלקום TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; אמאזון פריים - Amazon Prime,36-45,TRUE
909,אישה,42,יהודי,דתי/ה,לא יודע/ת,אחר,על תיכונית,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(04) צפון,אף אחד מהם,אף אחד מהם,,לא יודע ת,36-45,FALSE
961,אישה,42,יהודי,חילוני/ת,אחר,בזק בינלאומי,אקדמאית תואר שני,22001-27000,,"mobile, Android",0,22001-27000,(03) מרכז,Sting TV,ספוטיפיי – Spotify,,נטפליקס – Netflix; דיסני פלוס; אפל TV - AppleTV,36-45,TRUE
1087,אישה,42,יהודי,מסורתי/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,27001-32000,,"mobile, Android",0,27001-32000,(08) דרום,יס - Yes; יס פלוס - Yes,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; דיסני פלוס,36-45,TRUE
1158,גבר,42,יהודי,דתי/ה,סיב אופטי,019 mobile,על תיכונית,32001-36000,,desktop,0,32001-36000,(03) מרכז,FreeTV,ספוטיפיי – Spotify,,נטפליקס – Netflix,36-45,TRUE
1168,אישה,42,יהודי,חילוני/ת,סיב אופטי,סלקום,אקדמאית תואר שני,22001-27000,,"mobile, Android",0,22001-27000,(04) צפון,Sting TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix,36-45,TRUE
3,גבר,43,יהודי,חילוני/ת,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מעל 36000,,desktop,0,מעל 36000,(03) מרכז,הוט -Hot,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix,36-45,TRUE
88,אישה,43,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,12001-13000,מעט מתחת לערך הממוצע,desktop,0,12001-13000,(08) דרום,סלקום TV; אחר,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,12500,דיסני פלוס; אפל TV - AppleTV,36-45,FALSE
126,גבר,43,יהודי,חילוני/ת,סיב אופטי,אחר,אקדמאית תואר שני,22001-27000,,"mobile, Android",0,22001-27000,(02) ירושלים,אף אחד מהם,ספוטיפיי – Spotify,,נטפליקס – Netflix,36-45,TRUE
138,אישה,43,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,לא יודע/ת,מסרב/ת להשיב,"mobile, Android",0,לא יודע|ת,(02) ירושלים,יס פלוס - Yes,ספוטיפיי – Spotify,,נטפליקס – Netflix,36-45,TRUE
265,גבר,43,יהודי,מסורתי/ת,סיב אופטי,סלקום,על תיכונית,18001-22000,מעט מעל הערך הממוצע,"mobile, Android",0,18001-22000,(08) דרום,אף אחד מהם,אף אחד מהם,20000,דיסקברי פלוס - Discovery Plus,36-45,FALSE
353,גבר,43,יהודי,חילוני/ת,סיב אופטי,פרטנר,תיכונית / ישיבה קטנה,13001-14000,מעט מעל הערך הממוצע,"mobile, Android",0,13001-14000,(03) מרכז,פרטנר TV; FreeTV,ספוטיפיי – Spotify,13500,נטפליקס – Netflix,36-45,TRUE
375,גבר,43,יהודי,מסורתי/ת,סיב אופטי,019 mobile,על תיכונית,10001-11000,מעט מתחת לערך הממוצע,"mobile, iOS",0,10001-11000,(08) דרום,סלקום TV; פרטנר TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,10500,נטפליקס – Netflix; דיסני פלוס; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,36-45,TRUE
546,גבר,43,יהודי,חילוני/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,22001-27000,,"mobile, Android",0,22001-27000,(08) דרום,הוט -Hot,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix,36-45,TRUE
592,גבר,43,יהודי,דתי/ה,קו טלפון (ADSL),בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,22001-27000,,"mobile, Android",0,22001-27000,(08) דרום,Sting TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,,נטפליקס – Netflix; אפל TV - AppleTV,36-45,TRUE
628,גבר,43,ערבי - מוסלמי,חילוני/ת,קו טלפון (ADSL),בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,14001-16000,מעט מעל הערך הממוצע,"mobile, iOS",0,14001-16000,המשולש,עידן פלוס - Idan,ספוטיפיי – Spotify,15000,יוטיוב - YouTube - מנוי בתשלום; אחר,36-45,FALSE
692,גבר,43,יהודי,חרדי/ת,אחר,פלאפון,תיכונית / ישיבה קטנה,18001-22000,מעט מעל הערך הממוצע,"mobile, Android",0,18001-22000,(04) צפון,אף אחד מהם,אחר,20000,נטפליקס – Netflix,36-45,TRUE
713,גבר,43,יהודי,מסורתי/ת,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,12001-13000,מעט מתחת לערך הממוצע,desktop,0,12001-13000,(02) ירושלים,אחר,ספוטיפיי – Spotify; אחר,12500,אחר,36-45,FALSE
1048,אישה,43,יהודי,חילוני/ת,כבלים של הוט,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,10001-11000,מעט מתחת לערך הממוצע,"mobile, iOS",0,10001-11000,(09) שרון,הוט -Hot; אחר,YouTube Music   YouTube Premium,10500,נטפליקס – Netflix; דיסני פלוס,36-45,TRUE
1118,אישה,43,יהודי,חילוני/ת,סיב אופטי,סלקום,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,22001-27000,,"mobile, iOS",0,22001-27000,(09) שרון,סלקום TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,,דיסני פלוס,36-45,FALSE
1130,גבר,43,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר שני,22001-27000,,"mobile, Android",0,22001-27000,(08) דרום,פרטנר TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix,36-45,TRUE
17,אישה,44,יהודי,חילוני/ת,קו טלפון (ADSL),בזק בינלאומי,אקדמאית תואר שני,16001-18000,מעט מעל הערך הממוצע,desktop,0,16001-18000,(04) צפון,הוט -Hot,ספוטיפיי – Spotify,17000,נטפליקס – Netflix; BIGI,36-45,TRUE
37,גבר,44,יהודי,חילוני/ת,סיב אופטי,אקספון 018 (wecom),אקדמאית תואר ראשון / ישיבה גבוהה / כולל,27001-32000,,desktop,0,27001-32000,(04) צפון,FreeTV; אחר,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,36-45,TRUE
42,אישה,44,יהודי,חילוני/ת,סיב אופטי,סלקום,אקדמאית תואר שני,32001-36000,,"mobile, Android",0,32001-36000,(03) מרכז,סלקום TV,אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,,נטפליקס – Netflix; אפל TV - AppleTV,36-45,TRUE
99,גבר,44,ערבי - נוצרי,חרדי/ת,סיב אופטי,סלקום,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,18001-22000,מעט מעל הערך הממוצע,desktop,0,18001-22000,"ערים מעורבות (ירושלים, חיפה, עכו, נצרת, לוד, רמלה, יפו)",אף אחד מהם,ספוטיפיי – Spotify,20000,נטפליקס – Netflix,36-45,TRUE
247,גבר,44,ערבי - נוצרי,חילוני/ת,לא יודע/ת,לא יודע/ת,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,"ערים מעורבות (ירושלים, חיפה, עכו, נצרת, לוד, רמלה, יפו)",אף אחד מהם,אף אחד מהם,,נטפליקס – Netflix; דיסני פלוס; BIGI,36-45,TRUE
328,גבר,44,ערבי - מוסלמי,חילוני/ת,סיב אופטי,בזק בינלאומי,על תיכונית,לא יודע/ת,דומה לממוצע,"mobile, iOS",0,12001-13000,נצרת וסביבותיה,אחר,ספוטיפיי – Spotify; אחר,12500,נטפליקס – Netflix,36-45,TRUE
463,גבר,44,יהודי,מסורתי/ת,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,לא יודע/ת,דומה לממוצע,"mobile, Android",0,12001-13000,(04) צפון,הוט -Hot,ספוטיפיי – Spotify,12500,נטפליקס – Netflix,36-45,TRUE
513,אישה,44,יהודי,מסורתי/ת,סיב אופטי,בזק בינלאומי,על תיכונית,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(04) צפון,יס פלוס - Yes,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix,36-45,TRUE
738,גבר,44,יהודי,חילוני/ת,סיב אופטי,הוט נט,אקדמאית תואר שני,11001-12000,מעט מתחת לערך הממוצע,"mobile, Android",0,11001-12000,(04) צפון,אף אחד מהם,אף אחד מהם,11500,נטפליקס – Netflix,36-45,TRUE
901,גבר,44,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר שני,18001-22000,מעט מעל הערך הממוצע,"mobile, Android",0,18001-22000,(04) צפון,אף אחד מהם,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,20000,נטפליקס – Netflix,36-45,TRUE
996,אישה,44,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,22001-27000,,"mobile, iOS",0,22001-27000,(03) מרכז,פרטנר TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,יוטיוב - YouTube - מנוי בתשלום,36-45,FALSE
1157,אישה,44,דרוזי,חילוני/ת,כבלים של הוט,הוט נט,אקדמאית תואר שני,8001-9000,מעט מתחת לערך הממוצע,desktop,0,8001-9000,"ערים מעורבות (ירושלים, חיפה, עכו, נצרת, לוד, רמלה, יפו)",הוט -Hot,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,8500,נטפליקס – Netflix,36-45,TRUE
1206,גבר,44,יהודי,חילוני/ת,סיב אופטי,סלקום,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,11001-12000,מעט מתחת לערך הממוצע,desktop,0,11001-12000,(03) מרכז,סלקום TV,ספוטיפיי – Spotify,11500,נטפליקס – Netflix; דיסני פלוס; BIGI,36-45,TRUE
6,גבר,45,יהודי,מסורתי/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,27001-32000,,"mobile, Android",0,27001-32000,(09) שרון,סלקום TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix,36-45,TRUE
22,אישה,45,יהודי,חילוני/ת,כבלים של הוט,הוט נט,אקדמאית תואר שני,16001-18000,מעט מעל הערך הממוצע,"mobile, Android",0,16001-18000,(08) דרום,הוט -Hot,YouTube Music   YouTube Premium,17000,נטפליקס – Netflix,36-45,TRUE
29,גבר,45,יהודי,חילוני/ת,סיב אופטי,פרטנר,על תיכונית,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(04) צפון,יס פלוס - Yes,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; דיסני פלוס,36-45,TRUE
111,גבר,45,ערבי - מוסלמי,חילוני/ת,כבלים של הוט,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,9001-10000,מעט מתחת לערך הממוצע,"mobile, Android",0,9001-10000,נצרת וסביבותיה,אף אחד מהם,אחר,9500,נטפליקס – Netflix; דיסני פלוס; אמאזון פריים - Amazon Prime,36-45,TRUE
150,גבר,45,יהודי,חילוני/ת,כבלים של הוט,הוט נט,על תיכונית,16001-18000,מעט מעל הערך הממוצע,"mobile, iOS",0,16001-18000,(08) דרום,הוט -Hot,אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,17000,נטפליקס – Netflix,36-45,TRUE
155,אישה,45,ערבי - מוסלמי,חילוני/ת,סיב אופטי,בזק בינלאומי,על תיכונית,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,"ערים מעורבות (ירושלים, חיפה, עכו, נצרת, לוד, רמלה, יפו)",אף אחד מהם,YouTube Music   YouTube Premium,15000,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום,36-45,TRUE
308,אישה,45,דרוזי,חילוני/ת,אחר,אחר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,8001-9000,מעט מתחת לערך הממוצע,"mobile, Android",0,8001-9000,הגליל והגולן,אחר,YouTube Music   YouTube Premium; אחר,8500,נטפליקס – Netflix,36-45,TRUE
324,גבר,45,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,על תיכונית,12001-13000,מעט מתחת לערך הממוצע,desktop,0,12001-13000,(03) מרכז,הוט -Hot,ספוטיפיי – Spotify; אחר,12500,נטפליקס – Netflix,36-45,TRUE
444,גבר,45,יהודי,מסורתי/ת,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,18001-22000,מעט מעל הערך הממוצע,"mobile, iOS",0,18001-22000,(08) דרום,Hot-NextTV; Sting TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,20000,נטפליקס – Netflix; דיסני פלוס,36-45,TRUE
604,אישה,45,יהודי,חילוני/ת,סיב אופטי,סמייל 012,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,27001-32000,,"mobile, Android",0,27001-32000,(08) דרום,אף אחד מהם,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix,36-45,TRUE
652,אישה,45,יהודי,חילוני/ת,סיב אופטי,סלקום,אקדמאית דוקטורט,8001-9000,מעט מתחת לערך הממוצע,desktop,0,8001-9000,(02) ירושלים,אף אחד מהם,אחר,8500,נטפליקס – Netflix,36-45,TRUE
663,גבר,45,יהודי,מסורתי/ת,סיב אופטי,אחר,תיכונית / ישיבה קטנה,8001-9000,מעט מתחת לערך הממוצע,desktop,0,8001-9000,(03) מרכז,אף אחד מהם,YouTube Music   YouTube Premium,8500,נטפליקס – Netflix; אחר,36-45,TRUE
676,אישה,45,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,18001-22000,מעט מעל הערך הממוצע,desktop,0,18001-22000,(04) צפון,הוט -Hot,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,20000,נטפליקס – Netflix,36-45,TRUE
698,אישה,45,יהודי,דתי/ה,סיב אופטי,פרטנר,אקדמאית תואר שני,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(02) ירושלים,עידן פלוס - Idan,YouTube Music   YouTube Premium,15000,נטפליקס – Netflix,36-45,TRUE
784,אישה,45,יהודי,מסורתי/ת,סיב אופטי,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,22001-27000,,"mobile, Android",0,22001-27000,(08) דרום,יס - Yes,ספוטיפיי – Spotify,,נטפליקס – Netflix,36-45,TRUE
831,אישה,45,יהודי,מסורתי/ת,כבלים של הוט,פרטנר,תיכונית / ישיבה קטנה,22001-27000,,"mobile, Android",0,22001-27000,(03) מרכז,הוט -Hot,YouTube Music   YouTube Premium,,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,36-45,TRUE
850,גבר,45,יהודי,חילוני/ת,סיב אופטי,סלקום,על תיכונית,18001-22000,מעט מעל הערך הממוצע,"mobile, Android",0,18001-22000,(03) מרכז,סלקום TV,ספוטיפיי – Spotify,20000,אחר,36-45,FALSE
914,אישה,45,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(03) מרכז,Sting TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix,36-45,TRUE
938,אישה,45,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,קצת מעל הממוצע,"mobile, Android",0,18001-22000,(04) צפון,פרטנר TV,ספוטיפיי – Spotify,20000,נטפליקס – Netflix; דיסני פלוס,36-45,TRUE
978,גבר,45,יהודי,מסורתי/ת,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,קצת מעל הממוצע,"mobile, Android",0,18001-22000,(04) צפון,Hot-NextTV; Sting TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,20000,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,36-45,TRUE
1012,אישה,45,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר שני,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(04) צפון,אף אחד מהם,אף אחד מהם,15000,נטפליקס – Netflix; BIGI,36-45,TRUE
1091,גבר,45,יהודי,דתי/ה,קו טלפון (ADSL),בזק בינלאומי,תיכונית / ישיבה קטנה,22001-27000,,"mobile, Android",0,22001-27000,(03) מרכז,אף אחד מהם,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; אחר,36-45,TRUE
1094,אישה,45,יהודי,חילוני/ת,כבלים של הוט,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,27001-32000,,"mobile, iOS",0,27001-32000,(03) מרכז,פרטנר TV,ספוטיפיי – Spotify,,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,36-45,TRUE
